#aveWeek,2,#平均を取る週数
#start,2020/5/20
2020/5/27,278,390,2717,2502,2620,2733,1865,1637,1733
2020/6/3,284,411,2786,2559,2658,2759,1882,1682,1779
2020/6/10,284,418,2854,2605,2684,2787,1905,1709,1802
2020/6/17,287,428,2988,2666,2707,2812,1930,1744,1826
2020/6/24,292,439,3120,2757,2746,2842,1956,1767,1839
2020/7/1,306,469,3400,2899,2816,2910,1982,1800,1884
2020/7/8,333,529,4022,3192,2976,3014,2043,1826,1925
2020/7/15,409,655,4987,3650,3236,3210,2143,1882,1968
2020/7/22,469,852,6616,4337,3727,3542,2333,1994,2078
2020/7/29,564,1211,8839,5384,4440,4085,2585,2169,2221
2020/8/5,720,1692,12370,7124,5585,5005,3081,2526,2477
2020/8/12,937,2283,15206,8728,6733,5991,3678,3014,2941
2020/8/19,1144,2737,17075,9921,7796,6867,4272,3535,3451
2020/8/26,1342,3049,18602,10960,8674,7727,4766,3982,3891
2020/9/2,1525,3350,19827,11804,9378,8348,5224,4402,4238
2020/9/9,1642,3550,20589,12436,9935,8847,5551,4697,4496
2020/9/16,1798,3766,21380,13151,10522,9336,5845,4934,4719
2020/9/23,1903,3999,22111,13691,11032,9762,6086,5169,4919
2020/9/30,2011,4194,22833,14251,11554,10206,6363,5397,5093
2020/10/7,2112,4399,23707,14816,12064,10658,6666,5629,5267
2020/10/14,2211,4641,24607,15421,12628,11138,6950,5871,5429
2020/10/21,2294,4924,25426,16060,13227,11642,7263,6111,5641
2020/10/28,2385,5134,26507,16706,13857,12215,7641,6411,5900
2020/11/4,2485,5424,27686,17576,14647,12919,8068,6693,6229
2020/11/11,2614,5925,29336,18714,15707,13854,8652,7169,6722
2020/11/18,2800,6608,31550,20299,17254,15313,9537,7885,7391
2020/11/25,3020,7302,34061,22011,19149,17120,10730,8791,8111
2020/12/2,3307,8145,36599,23757,20962,18871,11878,9808,9084
2020/12/9,3637,8992,39125,25526,22901,20614,13121,10905,10131
2020/12/16,4002,10284,42246,27858,25205,22761,14512,12119,11302
2020/12/23,4743,12209,47766,31928,29365,26769,17141,14636,13805
2020/12/29,5250,13415,51820,34952,32403,29446,18957,16346,15423
2021/1/6,5921,15206,58346,39432,36735,33344,21428,18465,17399
2021/1/13,7160,18377,69311,46455,42939,39148,24823,21243,19967
2021/1/20,8569,21566,78300,52521,48919,44854,28402,24414,23063
2021/1/27,9707,24070,83905,56551,53354,49072,31373,27240,26504
