都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者うち重症（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
北海道|5,055|103,685|1,60818||3,324|123
青森|278|6,145|372||235|6
岩手|64|6,072|360||28|0
宮城|973|16,120|1873||778|8
秋田|71|2,695|61||65|0
山形|96|6,994|120||83|1
福島|431|34,974|363||389|6
茨城|946|14,703|1493||779|18
栃木|513|47,989|234||490|1
群馬|951|32,830|413||890|20
埼玉|6,741|206,725|75810||5,864|119
千葉|5,721|142,896|5467||5,091|84
東京|34,496|664,117|2,65841||31,368|470
神奈川|10,042|220,848|87828||8,982|182
新潟|224|19,616|400||184|0
富山|425|15,642|20||397|26
石川|828|19,693|130||766|49
福井|272|12,229|150||246|11
山梨|275|12,472|491||220|6
長野|448|25,663|1020||345|6
岐阜|800|29,255|950||693|12
静岡|822|48,055|1332||687|2
愛知|7,447|113,664|1,02012||6,327|100
三重|616|17,127|453||564|7
滋賀|655|14,966|870||559|9
京都|2,222|55,975|1261||2,065|31
大阪|15,155|269,000|1,79662||13,080|260
兵庫|3,816|76,513|34519||3,399|72
奈良|835|27,245|1522||672|11
和歌山|318|11,045|373||272|4
鳥取|52|6,090|110||41|0
島根|141|6,354|00||141|0
岡山|379|14,762|791||259|10
広島|688|29,759|231||658|5
山口|258|12,510|441||211|2
徳島|171|7,654|70||156|9
香川|114|14,893|110||101|2
愛媛|123|4,583|70||110|6
高知|144|3,688|00||140|4
福岡|5,367|179,430|1144||5,156|104
佐賀|278|8,030|130||266|1
長崎|249|24,525|30||242|3
熊本|903|21,470|544||815|9
大分|164|23,066|30||158|3
宮崎|373|8,829|31||370|1
鹿児島|542|24,653|670||470|13
沖縄|3,696|65,248|2883||3,347|66
（その他）|149|-|0-||149|-
合計|115,327|2,730,497|11,759243||101,632|1,882
