都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|19,023|377,430|645|3|17,747|675
青森|816|17,347|27|1|769|20
岩手|553|24,786|17|0|506|30
宮城|3,585|67,528|82|3|3,478|25
秋田|269|7,032|3|0|260|6
山形|542|17,479|15|0|512|15
福島|1,919|110,131|102|10|1,747|70
茨城|5,710|24,868|352|8|5,252|106
栃木|4,078|124,210|142|5|3,870|66
群馬|4,459|91,472|159|4|4,216|84
埼玉|29,132|545,020|1,519|39|27,066|547
千葉|26,112|402,857|1,768|23|23,900|444
東京|111,010|1,524,375|3,344|70|106,311|1,355
神奈川|44,607|587,587|1,061|24|42,871|675
新潟|1,070|43,685|89|1|966|15
富山|905|36,107|19|2|859|27
石川|1,841|50,551|161|7|1,649|62
福井|544|31,739|9|0|510|25
山梨|939|25,903|10|1|914|16
長野|2,363|97,594|16|0|2,338|41
岐阜|4,711|132,933|154|7|4,448|109
静岡|5,100|187,116|226|0|4,781|93
愛知|25,737|389,359|698|31|24,524|515
三重|2,509|63,656|139|8|2,395|53
滋賀|2,444|72,561|134|7|2,265|45
京都|9,046|154,708|329|2|8,578|154
大阪|47,000|777,922|1,088|92|44,384|1,112
兵庫|17,898|245,283|495|42|16,879|524
奈良|3,353|81,493|95|5|3,213|45
和歌山|1,161|24,414|10|3|1,109|18
鳥取|210|40,441|1|0|202|2
島根|284|15,625|6|0|278|0
岡山|2,478|66,389|53|2|2,389|32
広島|5,019|151,415|45|5|4,860|102
山口|1,377|58,758|59|0|1,280|38
徳島|450|26,160|32|2|402|16
香川|750|44,326|29|1|703|18
愛媛|1,061|32,480|41|1|997|23
高知|884|7,091|1|1|866|17
福岡|17,955|438,701|774|20|16,898|283
佐賀|1,052|27,821|58|0|1,006|8
長崎|1,609|66,997|36|1|1,537|36
熊本|3,439|56,710|44|5|3,324|72
大分|1,289|79,034|38|0|1,230|21
宮崎|1,951|24,715|27|1|1,896|21
鹿児島|1,758|67,228|39|2|1,719|26
沖縄|8,159|144,617|272|1|7,774|118
（その他）|149|-|0|-|149|-
合計|428,310|7,685,654|14,463|440|405,827|7,805
